Time stamp,Price to beat, Last price, lowest_up,lowest_down,outcome
1787841900,107.52,106.76,0¢,94¢,Down
1787842800,106.76,107.51,49¢,0¢,Up
1787843700,107.37,107.53,22¢,0¢,Up
1787844600,107.53,107.26,1¢,51¢,Down
1787845500,107.26,107.32,22¢,1¢,Up
1787846400,107.32,107.34,1¢,9¢,Down
1787847300,107.34,108.08,51¢,0¢,Up
1787848200,108.08,108.82,43¢,0¢,Up
1787849100,108.82,109.01,25¢,0¢,Up
1787850000,109.01,109.31,22¢,1¢,Up
1787850900,109.31,109.02,0¢,30¢,Down
1787851800,109.02,107.88,0¢,49¢,Down
1787852700,107.88,108.38,51¢,0¢,Up
1787853600,108.38,107.98,0¢,48¢,Down
1787854500,107.98,107.24,1¢,31¢,Down
1787855400,107.24,107.53,46¢,0¢,Up
1787856300,107.53,108.08,51¢,0¢,Up
1787857200,108.08,108.86,60¢,0¢,Up
1787858100,108.86,108.97,25¢,1¢,Up
1787859000,108.97,108.97,7¢,1¢,Up
1787859900,108.97,109.03,2¢,1¢,Up
1787860800,109.03,108.88,0¢,51¢,Down
1787861700,108.88,109.17,45¢,0¢,Up
1787862600,109.17,109.15,21¢,1¢,Up
1787863500,109.15,108.88,0¢,37¢,Down
1787864400,108.88,109.03,1¢,14¢,Down
1787865300,109.03,108.59,0¢,62¢,Down
1787866200,108.59,108.36,1¢,32¢,Down
1787867100,108.36,108.58,58¢,0¢,Up
1787868000,108.58,109.58,54¢,0¢,Up
1787868900,109.58,109.22,0¢,5¢,Down
1787869800,109.22,109.42,41¢,1¢,Up
1787870700,109.42,109.2,0¢,65¢,Down
1787871600,109.2,108.97,0¢,33¢,Down
1787872500,108.97,109.9,0¢,0¢,Up
1787873400,109.9,109.41,0¢,52¢,Down
1787874300,109.41,109.19,1¢,22¢,Down
1787875200,109.19,108.99,0¢,43¢,Down
1787876100,108.99,109.66,53¢,0¢,Up
1787877000,109.66,109.59,1¢,13¢,Down
1787877900,109.59,109.39,1¢,27¢,Down
1787878800,109.39,109.12,1¢,31¢,Down
1787879700,109.12,109.45,37¢,0¢,Up
1787880600,109.45,108.63,0¢,30¢,Down
1787881500,108.63,107.93,1¢,36¢,Down
1787882400,107.93,107.61,0¢,40¢,Down
1787883300,107.61,107.4,0¢,24¢,Down
1787884200,107.4,107.1,1¢,23¢,Down
1787885100,107.1,106.48,0¢,50¢,Down
1787886000,106.48,106.24,0¢,49¢,Down
1787886900,106.24,106.94,51¢,0¢,Up
1787887800,106.94,106.95,1¢,16¢,Down
1787888700,106.95,106.83,11¢,1¢,Up
1787889600,106.83,107.02,2¢,0¢,Up
1787890500,107.02,107.0,0¢,30¢,Down
1787891400,107.0,106.86,0¢,48¢,Down
1787892300,106.86,106.72,1¢,31¢,Down
1787893200,106.72,106.85,25¢,1¢,Up
1787894100,106.85,106.88,0¢,41¢,Down
1787895000,106.88,107.18,52¢,0¢,Up
1787895900,107.18,107.12,0¢,12¢,Down
1787896800,107.12,107.38,66¢,0¢,Up
1787897700,107.38,107.3,0¢,46¢,Down
1787898600,107.3,107.56,32¢,0¢,Up
1787899500,107.56,107.6,1¢,19¢,Down
1787900400,107.6,106.68,0¢,52¢,Down
1787901300,106.68,106.82,25¢,0¢,Up
1787902200,106.82,106.72,0¢,51¢,Down
1787903100,106.72,106.4,1¢,34¢,Down
1787904000,106.4,106.54,66¢,0¢,Up
1787904900,106.54,106.61,34¢,1¢,Up
1787905800,106.61,106.58,1¢,15¢,Down
1787906700,106.58,106.03,0¢,55¢,Down
1787907600,106.03,106.45,26¢,0¢,Up
1787908500,106.45,106.38,1¢,8¢,Down
1787909400,106.38,105.95,0¢,25¢,Down
1787910300,105.95,105.95,56¢,0¢,Up
1787911200,105.95,105.23,0¢,42¢,Down
1787912100,105.23,105.38,32¢,0¢,Up
1787913000,105.38,105.82,50¢,0¢,Up
1787913900,105.82,106.13,42¢,0¢,Up
1787914800,106.13,106.41,50¢,0¢,Up
1787915700,106.41,106.2,0¢,23¢,Down
1787916600,106.2,105.92,0¢,24¢,Down
1787917500,105.92,105.78,0¢,37¢,Down
1787918400,105.78,105.55,0¢,18¢,Down
1787919300,105.55,105.19,0¢,9¢,Down
1787920200,105.19,104.67,0¢,47¢,Down
1787921100,104.67,104.95,1¢,29¢,Down
1787922000,104.95,104.88,1¢,18¢,Down
1787922900,104.88,105.09,29¢,0¢,Up
1787923800,105.09,104.79,1¢,34¢,Down
1787924700,104.79,105.35,58¢,0¢,Up
1787925600,105.35,103.85,0¢,74¢,Down
1787926500,103.85,103.95,23¢,1¢,Up
1787927400,103.95,106.01,66¢,0¢,Up
1787928300,106.01,106.37,12¢,1¢,Up
1787929200,106.37,105.42,0¢,48¢,Down
1787930100,105.42,106.79,48¢,0¢,Up
1787931000,106.79,105.88,0¢,49¢,Down
1787931900,105.88,105.47,0¢,17¢,Down
1787932800,105.47,104.64,0¢,46¢,Down
1787933700,104.64,104.25,0¢,38¢,Down
1787934600,104.25,105.33,59¢,0¢,Up
1787935500,105.33,105.24,1¢,19¢,Down
1787936400,105.24,104.98,1¢,56¢,Down
1787937300,104.98,104.65,0¢,37¢,Down
1787938200,104.65,104.49,0¢,39¢,Down
1787939100,104.49,104.75,59¢,1¢,Up
1787940000,104.75,104.01,0¢,50¢,Down
1787940900,104.01,103.72,0¢,46¢,Down
1787941800,103.72,103.05,0¢,48¢,Down
1787942700,103.05,102.63,0¢,48¢,Down
1787943600,102.63,103.28,63¢,0¢,Up
1787944500,103.28,103.4,24¢,0¢,Up
1787945400,103.4,103.69,37¢,0¢,Up
1787946300,103.69,103.46,1¢,31¢,Down
1787947200,103.46,103.4,5¢,1¢,Up
1787948100,103.4,103.56,17¢,1¢,Up
1787949000,103.56,103.83,21¢,0¢,Up
1787949900,103.83,103.81,1¢,13¢,Down
1787950800,103.81,103.73,1¢,27¢,Down
1787951700,103.73,103.71,7¢,1¢,Up
1787952600,103.71,103.59,0¢,8¢,Down
1787953500,103.59,103.34,0¢,59¢,Down
1787954400,103.34,103.75,58¢,0¢,Up
1787955300,103.75,103.89,7¢,1¢,Up
1787956200,103.89,103.93,18¢,1¢,Up
1787957100,103.93,104.06,12¢,1¢,Up
1787958000,104.06,104.2,12¢,1¢,Up
1787958900,104.2,104.15,1¢,48¢,Down
1787959800,104.15,104.03,1¢,1¢,Down
1787960700,104.03,104.12,26¢,0¢,Up
1787961600,104.12,104.33,42¢,0¢,Up
1787962500,104.33,104.5,49¢,0¢,Up
1787963400,104.5,104.09,0¢,52¢,Down
1787964300,104.09,103.93,0¢,53¢,Down
1787965200,103.93,103.98,23¢,1¢,Up
1787966100,103.98,104.03,34¢,0¢,Up
1787967000,104.03,104.11,25¢,1¢,Up
1787967900,104.11,104.07,0¢,12¢,Down
1787968800,104.07,104.3,41¢,0¢,Up
1787969700,104.3,103.76,0¢,70¢,Down
1787970600,103.76,103.89,18¢,0¢,Up
1787971500,103.89,103.96,33¢,0¢,Up
1787972400,103.96,103.99,37¢,1¢,Up
1787973300,103.99,104.05,33¢,0¢,Up
1787974200,104.05,104.13,6¢,1¢,Up
1787975100,104.13,103.95,0¢,63¢,Down
1787976000,103.95,103.72,0¢,52¢,Down
1787976900,103.72,103.64,0¢,65¢,Down
1787977800,103.64,103.68,29¢,1¢,Up
1787978700,103.68,103.84,57¢,0¢,Up
1787979600,103.84,104.07,56¢,0¢,Up
1787980500,104.07,104.16,0¢,3¢,Down
1787981400,104.16,104.07,13¢,1¢,Up
1787982300,104.07,103.97,0¢,41¢,Down
1787983200,103.97,103.53,0¢,40¢,Down
1787984100,103.53,103.42,12¢,1¢,Up
1787985000,103.42,103.63,58¢,0¢,Up
1787985900,103.63,103.56,1¢,46¢,Down
1787986800,103.56,103.7,48¢,0¢,Up
1787987700,103.7,103.78,47¢,0¢,Up
1787988600,103.78,103.77,32¢,0¢,Up
1787989500,103.77,103.67,0¢,15¢,Down
1787990400,103.67,103.43,0¢,63¢,Down
1787991300,103.43,103.48,51¢,0¢,Up
1787992200,103.48,103.32,0¢,56¢,Down
1787993100,103.32,103.39,21¢,0¢,Up
1787994000,103.39,103.39,7¢,1¢,Up
1787994900,103.39,103.34,0¢,45¢,Down
